transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
47.0,67.24,error_transaction_hour,Electronics,0.0,0.0,31.0,3.0,38.0,0.0
48.0,132.14,0.0,Clothing,0.0,0.0,30.0,2.0,23.0,0.0
49.0,142.42,18.0,Travel,0.0,1.0,51.0,2.0,41.0,0.0
50.0,36.79,10.0,Grocery,0.0,0.0,26.0,1.0,66.0,
51.0,628.71,4.0,Clothing,0.0,0.0,30.0,4.0,45.0,0.0
52.0,268.6,0.0,Food,0.0,0.0,85.0,1.0,34.0,0.0
53.0,504.92,19.0,Electronics,0.0,0.0,56.0,1.0,59.0,0.0
54.0,405.39,12.0,Grocery,,0.0,53.0,0.0,39.0,0.0
55.0,163.99,7.0,Grocery,0.0,0.0,89.0,2.0,41.0,0.0
56.0,458.9,5.0,Travel,0.0,0.0,39.0,1.0,57.0,0.0
57.0,16.68,16.0,Grocery,0.0,0.0,34.0,1.0,35.0,0.0
58.0,39.26,11.0,Clothing,1.0,1.0,34.0,3.0,45.0,1.0
59.0,8.33,0.0,Clothing,0.0,0.0,34.0,2.0,27.0,0.0
60.0,70.84,2.0,Clothing,0.0,0.0,61.0,4.0,18.0,
61.0,88.58,13.0,FOOD,0.0,0.0,56.0,0.0,54.0,0.0
62.0,56.98,7.0,Food,1.0,0.0,,2.0,43.0,0.0
63.0,317.62,10.0,Grocery,0.0,0.0,88.0,1.0,67.0,0.0
64.0,79.42,13.0,Food,0.0,0.0,39.0,3.0,43.0,0.0
65.0,59.36,7.0,Food,0.0,0.0,97.0,,50.0,0.0
66.0,140.83,2.0,Travel,0.0,0.0,40.0,,2168.5517593064765,0.0
67.0,27.34,6.0,Food,0.0,0.0,70.0,2.0,35.0,0.0
68.0,291.69,18.0,Electronics,1.0,1.0,68.0,1.0,22.0,0.0
69.0,13.95,3.0,Electronics,0.0,0.0,59.0,1.0,39.0,0.0
70.0,780.15,15.0,Electronics,0.0,0.0,75.0,3.0,27.0,0.0
,266.31,12.0,Grocery,0.0,0.0,82.0,2.0,31.0,0.0
72.0,39.88,19.0,Clothing,0.0,0.0,29.0,1.0,29.0,0.0
249876.49791231734,1.0,18.0,Travel,,1.0,62.0,2.0,49.0,0.0
74.0,304.18,4.0,Grocery,0.0,0.0,30.0,1.0,56.0,0.0
75.0,220.88,22.0,Clothing,0.0,1.0,75.0,1.0,62.0,0.0
76.0,235.02,4.0,Travel,0.0,1.0,38.0,2.0,,0.0
77.0,265.54,19.0,Travel,0.0,0.0,72.0,0.0,68.0,0.0
78.0,13.85,23.0,Travel,0.0,0.0,36.0,4.0,67.0,0.0
,,3.0,Electronics,0.0,0.0,76.0,4.0,64.0,0.0
,22.17,1.0,Electronics,0.0,0.0,92.0,1.0,32.0,0.0
error_transaction_id,357.94,,Electronics,0.0,0.0,83.0,3.0,50.0,0.7656186198448346
82.0,175.73,15.0,Travel,0.0,1.0,42.0,0.0,33.0,0.0
83.0,72.33,21.0,Travel,1.0,0.0,77.0,1.0,,0.0
84.0,11.82,1.0,Electronics,0.0,0.0,55.0,1.0,68.0,0.0
85.0,67.05,18.0,Travel,0.0,0.0,59.0,3.0,20.0,0.0
,70.8,16.0,Electronics,0.0,0.0,28.0,2.0,43.0,0.0
87.0,235.42,4.0,Electronics,0.0,0.0,33.0,0.0,54.0,0.0
,182.68,,ELECTRONICS,1.0,0.0,39.0,0.0,,0.0
89.0,392.81,22.0,Clothing,0.0,0.0,66.0,4.0,59.0,0.0
,115.03,20.0,Travel,0.0,0.0,,1.0,26.0,0.0
91.0,22.93,,Grocery,0.0,0.0,97.0,1.0,61.0,0.0
92.0,224.84,,Electronics,0.0,0.0,56.0,0.0,31.0,0.0
93.0,257.47,14.0,Grocery,0.0,0.0,69.0,2.0,64.0,0.0
94.0,148.3,12.0,Clothing,0.0,0.0,29.0,1.0,50.0,0.0
95.0,265.3,12.0,TRAVEL,0.0,1.0,55.0,4.0,65.0,
96.0,122.55,15.0,Electronics,0.0,,49.0,1.0,55.0,0.0
97.0,133.14,21.0,Electronics,0.0,0.0,80.0,2.0,22.0,0.0
98.0,100.41,19.0,ELECTRONICS,0.0,,25.0,,68.0,0.0
99.0,error_amount,12.0,Grocery,0.0,0.0,85.0,0.0,64.0,0.0
100.0,20.55,19.0,Clothing,0.0,0.0,91.0,3.0,45.0,0.0
101.0,5.75,1.0,Travel,0.0,0.0,91.0,1.0,50.0,0.0
102.0,182.11,2.0,Clothing,0.0,0.0,66.0,3.0,34.0,0.0
103.0,67.93,14.0,Electronics,0.0,0.0,83.0,3.0,38.0,0.0
104.0,127.88,22.0,Clothing,0.0,0.0,74.0,2.0,,0.0
105.0,428.63,18.0,Grocery,0.0,0.0,,2.0,57.0,0.0
106.0,51.61,12.0,Food,,0.0,92.0,4.0,52.0,0.0
107.0,95.09,4.0,Food,0.0,1.0,78.0,6.0,24.0,
,253.57,21.0,Travel,0.0,1.0,38.0,2.0,25.0,0.0
,46.76,5.0,Travel,0.0,0.0,56.0,3.0,68.0,0.0
,14.42,13.0,Clothing,1.0,0.0,94.0,0.0,61.0,0.0
111.0,61.59,,Travel,0.0,0.0,32.0,0.0,59.0,0.0
112.0,31.65,,Grocery,0.0,0.0,59.0,1.0,48.0,0.0
113.0,477.89,18.0,Electronics,0.0,0.0,48.0,3.0,22.0,0.0
114.0,297.16,22.0,Electronics,0.0,0.0,27.0,2.0,22.0,0.0
115.0,180.63,6.0,Clothing,0.0,0.0,60.0,3.0,41.0,0.0
116.0,,3.0,Electronics,1.0,0.0,,1.0,39.0,0.0
117.0,293.03,1.0,Clothing,0.0,0.0,81.0,4.0,,0.0
118.0,37.17,6.0,Travel,1.0,0.0,83.0,4.0,30.0,0.0
119.0,401.55,,Travel,0.0,,46.0,1.0,,0.0
120.0,139.52,14.0,Grocery,0.0,0.0,61.0,0.0,43.0,0.0
121.0,296.52,0.0,Electronics,0.0,0.0,99.0,3.0,18.0,0.0
122.0,407.56,1.0,Grocery,1.0,0.0,,2.0,,1.0
123.0,68.89,9.0,Food,0.0,0.0,45.0,0.0,36.0,0.0
124.0,20.99,15.0,Grocery,1.0,1.0,39.0,2.0,19.0,1.0
,46.56,14.0,Clothing,0.0,0.0,36.0,4.0,67.0,
126.0,100.27,23.0,Clothing,0.0,0.0,80.0,5.0,69.0,0.0
127.0,,14.0,Grocery,0.0,0.0,40.0,5.0,28.0,0.0
128.0,354.84,13.0,Travel,0.0,0.0,57.0,4.0,47.0,0.0
,1.26,21.0,Food,0.0,1.0,,2.0,63.0,0.0
130.0,128.68,13.0,Grocery,0.0,1.0,73.0,4.0,40.0,0.0
131.0,97.25,5.0,Travel,1.0,0.0,42.0,1.0,32.0,0.0
132.0,45.21,13.0,Grocery,,0.0,40.0,2.0,40.0,0.0
133.0,22.98,16.0,Electronics,1.0,1.0,64.0,3.0,29.0,0.0
134.0,74.14,17.0,Clothing,0.0,0.0,91.0,1.0,44.0,0.0
135.0,515.36,19.0,Electronics,0.0,1.0,86.0,1.0,23.0,0.0
136.0,70.27,18.0,Electronics,0.0,0.0,51.0,,47.0,0.0
137.0,131.66,16.0,Food,0.0,0.0,38.0,3.0,22.0,0.0
138.0,218.54,15.0,Travel,0.0,0.0,90.0,0.0,63.0,0.0
139.0,81.36,7.0,,1.0,0.0,51.0,4.0,55.0,0.0
140.0,642.2,6.0,Electronics,0.0,0.0,78.0,1.0,52.0,0.0
141.0,590.76,19.0,Clothing,1.0,0.0,84.0,3.0,23.0,0.0
142.0,52.21,11.0,Travel,0.0,0.0,64.0,2.0,31.0,0.0
143.0,123.78,8.0,Grocery,0.0,0.0,69.0,1.0,69.0,0.0
144.0,64.43,13.0,Electronics,0.0,0.0,92.0,1.0,67.0,0.0
145.0,60.34,,Travel,0.0,0.0,92.0,2.0,34.0,0.0
146.0,6.77,0.0,Clothing,0.0,0.0,87.0,2.0,26.0,0.0
147.0,169.29,9.0,Travel,0.0,0.0,64.0,3.0,57.0,0.0
148.0,125.73,16.0,Grocery,0.0,0.0,65.0,1.0,2168.5517593064765,0.0
149.0,9.51,16.0,Travel,0.0,0.0,85.0,5.0,53.0,0.0
,58.79,16.0,Clothing,0.0,0.0,89.0,1.0,27.0,0.0
151.0,429.99,3.0,Electronics,0.0,0.0,25.0,2.0,44.0,0.0
152.0,49.29,16.0,Electronics,0.0,0.0,33.0,7.0,66.0,0.0
153.0,28.18,,Food,0.0,0.0,99.0,4.0,69.0,0.0
154.0,121.01,,Clothing,1.0,,39.0,3.0,22.0,0.0
155.0,763.93,,Food,0.0,0.0,83.0,1.0,34.0,0.0
156.0,49.89,1.0,Food,0.0,0.0,90.0,0.0,48.0,
157.0,200.73,7.0,Grocery,0.0,0.0,,1.0,31.0,0.0
158.0,258.1,12.0,Clothing,0.0,0.0,73.0,2.0,40.0,0.0
159.0,48.84,,Electronics,0.0,,35.0,100.66462167689161,61.0,
160.0,234.49,21.0,,0.0,,54.0,2.0,46.0,0.0
161.0,82.53,19.0,Grocery,1.0,0.0,47.0,3.0,56.0,0.0
162.0,180.09,21.0,Clothing,1.0,0.0,46.0,1.0,32.0,0.0
163.0,180.69,14.0,Clothing,0.0,1.0,,,64.0,0.0
164.0,138.13,19.0,Food,0.0,0.0,66.0,3.0,29.0,0.0
165.0,17.03,22.0,Clothing,0.0,0.0,53.0,0.0,50.0,0.0
166.0,324.66,8.0,Food,0.0,0.0,69.0,1.0,,0.0
167.0,69.63,2.0,Food,,0.0,57.0,0.0,47.0,0.0
error_transaction_id,37.16,2.0,Travel,0.0,0.0,63.0,6.0,39.0,0.0
169.0,7.49,1.0,Grocery,0.0,0.0,97.0,1.0,47.0,0.0
170.0,160.88,0.0,Food,0.0,0.0,89.0,2.0,49.0,0.0
171.0,203.73,13.0,Clothing,0.0,0.0,74.0,3.0,37.0,0.0
172.0,3.01,16.0,Food,0.0,0.0,72.0,,55.0,0.0
173.0,129.17,12.0,Food,0.0,0.0,61.0,3.0,37.0,0.0
174.0,46.23,18.0,Food,1.0,1.0,57.0,2.0,19.0,0.0
175.0,186.5,22.0,Electronics,0.0,0.0,30.0,2.0,48.0,0.0
176.0,34.49,14.0,Electronics,0.0,0.0,94.0,2.0,,0.0
error_transaction_id,211.36,13.0,Electronics,0.0,0.0,79.0,1.0,45.0,0.0
178.0,88.01,1.0,Electronics,0.0,1.0,68.0,0.0,20.0,0.0
179.0,496.86,6.0,Travel,0.0,1.0,74.0,4.0,37.0,0.0
180.0,26.63,16.0,Food,0.0,0.0,78.0,,52.0,0.0
181.0,75.08,17.0,Travel,0.0,0.0,87.0,4.0,36.0,0.0
182.0,21.68,5.0,Clothing,,0.0,40.0,3.0,23.0,0.0
183.0,465.51,20.0,Grocery,,0.0,71.0,5.0,28.0,0.0
184.0,377.7,7.0,Travel,1.0,0.0,81.0,2.0,62.0,0.0
,53.7,1.0,Electronics,0.0,0.0,26.0,,23.0,0.0
186.0,194.18,0.0,Electronics,0.0,0.0,61.0,3.0,35.0,0.0
187.0,305.91,15.0,,0.0,0.0,47.0,4.0,64.0,0.0
188.0,145.82,6.0,,,0.0,37.0,1.0,,0.0
189.0,135.77,21.0,Grocery,1.0,0.0,89.0,4.0,31.0,0.0
error_transaction_id,49.84,23.0,Travel,0.0,0.0,72.0,2.0,18.0,
,,,FOOD,0.0,0.0,31.0,1.0,34.0,0.0
192.0,409.52,14.0,Food,0.0,0.0,55.0,2.0,31.0,0.0
193.0,415.22,12.0,Travel,1.0,0.0,87.0,2.0,,0.0
194.0,,23.0,Travel,0.0,0.0,,4.0,62.0,0.0
195.0,74.53,1.0,Travel,0.0,0.0,80.0,3.0,27.0,0.0
196.0,77.32,13.0,Travel,0.0,0.0,,3.0,55.0,0.0
197.0,233.0,23.0,Electronics,0.0,0.0,46.0,0.0,50.0,0.0
198.0,409.34,5.0,Food,0.0,0.0,87.0,2.0,22.0,0.0
199.0,392.6,8.0,Food,0.0,0.0,52.0,1.0,33.0,0.0
200.0,272.44,6.0,,0.0,0.0,68.0,0.0,37.0,0.0
201.0,184.92,17.0,Food,0.0,0.0,38.0,2.0,65.0,0.0
202.0,15.82,23.0,Travel,0.0,0.0,43.0,2.0,39.0,0.0
203.0,31.73,8.0,Grocery,0.0,0.0,84.0,100.66462167689161,57.0,0.0
204.0,411.88,22.0,,0.0,0.0,26.0,3.0,34.0,0.0
205.0,167.85,3.0,,1.0,4.309730005094243,,1.0,67.0,0.0
206.0,1.66,8.0,Grocery,0.0,0.0,58.0,2.0,67.0,0.0
207.0,19.26,3.0,,0.0,0.0,75.0,2.0,26.0,0.0
208.0,196.05,11.0,Clothing,0.0,0.0,43.0,0.0,55.0,0.0
209.0,0.91,3.0,Food,0.0,0.0,60.0,2.0,59.0,0.0
210.0,31.56,23.0,Electronics,0.0,0.0,50.0,2.0,2168.5517593064765,0.0
211.0,143.23,19.0,Electronics,0.0,0.0,59.0,4.0,32.0,0.0
212.0,211.92,13.0,Grocery,0.0,0.0,87.0,,69.0,0.0
213.0,189.98,23.0,Food,0.0,0.0,28.0,2.0,63.0,0.0
214.0,45.71,23.0,Electronics,0.0,0.0,27.0,1.0,31.0,0.0
215.0,224.18,6.0,Travel,4.923391215526047,0.0,29.0,0.0,,0.0
216.0,48.75,12.0,Electronics,0.0,0.0,53.0,1.0,26.0,0.0
217.0,70.85,21.0,Travel,0.0,0.0,43.0,2.0,50.0,0.0
218.0,247.02,7.0,Clothing,0.0,0.0,41.0,0.0,48.0,0.0
219.0,188.78,22.0,Travel,0.0,0.0,58.0,2.0,27.0,0.0
220.0,,4.0,Travel,0.0,0.0,44.0,0.0,27.0,0.0
221.0,192.93,11.0,Grocery,4.923391215526047,0.0,52.0,3.0,56.0,0.0
222.0,151.21,12.0,Electronics,0.0,0.0,97.0,,22.0,0.0
223.0,17.7,19.0,Clothing,0.0,0.0,91.0,3.0,35.0,0.0
224.0,,13.0,Electronics,,0.0,34.0,3.0,50.0,0.0
225.0,55.47,17.0,Travel,0.0,0.0,45.0,1.0,66.0,
,50.35,23.0,Travel,0.0,,28.0,3.0,35.0,0.0
227.0,650.22,19.0,Electronics,0.0,1.0,46.0,1.0,69.0,0.0
228.0,89.89,3.0,Clothing,0.0,0.0,95.0,2.0,29.0,
229.0,400.69,20.0,CLOTHING,0.0,0.0,86.0,0.0,42.0,0.0
230.0,179.52,17.0,Grocery,0.0,0.0,36.0,4.0,44.0,0.0
231.0,285.09,6.0,Travel,0.0,0.0,35.0,3.0,58.0,0.0
232.0,125.72,14.0,Travel,0.0,0.0,46.0,4.0,26.0,0.0
233.0,154.83,20.0,Grocery,0.0,0.0,53.0,2.0,66.0,0.0
234.0,122.09,5.0,Electronics,0.0,0.0,85.0,0.0,30.0,0.0
,39.1,15.0,Travel,1.0,0.0,85.0,5.0,66.0,0.7656186198448346
error_transaction_id,230.72,19.0,Electronics,0.0,1.0,51.0,100.66462167689161,39.0,0.0
237.0,59.32,23.0,Clothing,0.0,0.0,71.0,3.0,19.0,0.0
238.0,,7.0,Food,0.0,0.0,38.0,1.0,56.0,0.0
239.0,186.65,578.7406093489149,Grocery,0.0,0.0,31.0,2.0,65.0,0.0
240.0,35.09,15.0,Travel,0.0,0.0,39.0,2.0,32.0,0.0
241.0,507.79,21.0,Grocery,0.0,0.0,70.0,4.0,40.0,0.0
242.0,,15.0,Clothing,0.0,0.0,52.0,2.0,30.0,0.0
243.0,443.43,2.0,Clothing,,0.0,67.0,3.0,62.0,0.0
244.0,83.21,16.0,Clothing,0.0,0.0,34.0,1.0,,0.0
245.0,,8.0,Clothing,0.0,0.0,75.0,1.0,37.0,0.0
246.0,474.39,2.0,Food,0.0,0.0,27.0,3.0,30.0,0.0
,100.61,19.0,Electronics,0.0,0.0,68.0,3.0,44.0,0.0
248.0,612.15,6.0,Electronics,0.0,0.0,78.0,3.0,59.0,0.0
249.0,596.47,17.0,Food,0.0,0.0,58.0,3.0,34.0,0.0
250.0,345.13,11.0,Electronics,0.0,0.0,89.0,3.0,48.0,0.0
251.0,62.78,18.0,Clothing,0.0,0.0,49.0,0.0,43.0,0.0
252.0,87.53,15.0,Electronics,0.0,0.0,87.0,0.0,39.0,0.0
253.0,342.85,21.0,Grocery,0.0,0.0,94.0,1.0,58.0,0.0
254.0,68.61,23.0,,0.0,0.0,69.0,1.0,49.0,0.0
255.0,33.43,16.0,Grocery,0.0,0.0,92.0,0.0,39.0,0.0
,146.47,,Travel,,0.0,50.0,0.0,45.0,0.0
257.0,495.23,14.0,Grocery,0.0,,50.0,0.0,59.0,
,214.35,0.0,Grocery,0.0,0.0,50.0,1.0,64.0,0.0
259.0,151.94,1.0,Clothing,0.0,0.0,86.0,2.0,18.0,0.0
260.0,18.4,7.0,Clothing,0.0,0.0,85.0,0.0,21.0,0.0
261.0,171.82,21.0,Clothing,0.0,0.0,26.0,1.0,33.0,0.0
262.0,829.9,1.0,Grocery,1.0,0.0,65.0,2.0,60.0,0.0
263.0,27.17,18.0,Food,0.0,0.0,,0.0,40.0,0.0
264.0,131.49,8.0,,0.0,0.0,38.0,4.0,55.0,0.0
265.0,377.75,8.0,Clothing,0.0,0.0,61.0,2.0,58.0,0.0
266.0,243.01,12.0,Grocery,0.0,0.0,26.0,3.0,65.0,0.0
267.0,214.93,5.0,Travel,0.0,,29.0,0.0,53.0,0.0
268.0,218.21,14.0,Travel,0.0,1.0,26.0,0.0,31.0,0.0
269.0,80.19,18.0,Electronics,0.0,0.0,25.0,0.0,60.0,0.0
NAN,62.56,20.0,Travel,0.0,0.0,72.0,1.0,60.0,0.0
271.0,298.33,14.0,Clothing,0.0,0.0,46.0,0.0,20.0,0.0
272.0,299.04,17.0,Food,0.0,0.0,65.0,1.0,18.0,0.0
273.0,363.23,6.0,Electronics,0.0,0.0,49.0,1.0,61.0,0.0
274.0,440.03,10.0,Food,0.0,0.0,,2.0,33.0,0.0
275.0,128.9,7.0,Food,0.0,0.0,33.0,5.0,25.0,0.0
276.0,125.31,5.0,Clothing,0.0,0.0,85.0,3.0,18.0,0.0
277.0,288.17,7.0,Grocery,0.0,0.0,71.0,0.0,38.0,0.0
278.0,188.95,1.0,Grocery,0.0,,98.0,3.0,19.0,0.0
279.0,217.9,18.0,Grocery,0.0,0.0,27.0,1.0,29.0,0.0
280.0,285.95,15.0,Travel,0.0,0.0,32.0,0.0,31.0,0.0
281.0,8813.402647488014,6.0,Grocery,0.0,0.0,49.0,2.0,39.0,0.0
282.0,74.25,9.0,Clothing,0.0,0.0,60.0,0.0,37.0,0.0
283.0,84.77,11.0,Travel,0.0,0.0,67.0,3.0,34.0,0.0
284.0,17.77,16.0,Grocery,,0.0,74.0,1.0,24.0,0.0
,155.41,6.0,Food,0.0,0.0,87.0,3.0,38.0,
286.0,6.59,21.0,Clothing,0.0,4.309730005094243,58.0,2.0,51.0,0.0
287.0,112.79,7.0,Clothing,0.0,0.0,97.0,1.0,39.0,0.0
288.0,140.81,6.0,Electronics,0.0,0.0,34.0,2.0,39.0,
289.0,60.77,3.0,Clothing,1.0,0.0,51.0,5.0,38.0,1.0
290.0,160.85,2.0,Food,0.0,0.0,37.0,2.0,30.0,0.0
291.0,5.58,18.0,Clothing,0.0,0.0,75.0,3.0,,0.0
292.0,6.85,14.0,Electronics,,0.0,92.0,0.0,23.0,0.0
293.0,311.28,3.0,CLOTHING,4.923391215526047,0.0,40.0,0.0,42.0,0.0
294.0,80.39,8.0,Clothing,1.0,0.0,36.0,1.0,61.0,
295.0,24.46,,Electronics,0.0,0.0,49.0,1.0,48.0,0.0
296.0,132.96,17.0,Clothing,0.0,1.0,73.0,4.0,42.0,0.0
297.0,264.54,20.0,Travel,,0.0,40.0,1.0,49.0,0.0
298.0,43.76,15.0,Clothing,0.0,0.0,26.0,4.0,46.0,0.0
299.0,175.54,0.0,Grocery,0.0,0.0,97.0,1.0,65.0,0.0
,16.06,3.0,GROCERY,0.0,0.0,59.0,2.0,52.0,0.0
301.0,9.55,error_transaction_hour,Travel,0.0,0.0,46.0,3.0,29.0,0.0
302.0,136.42,7.0,Clothing,0.0,1.0,72.0,1.0,33.0,0.0
error_transaction_id,140.02,19.0,Food,0.0,1.0,88.0,4.0,26.0,0.0
304.0,,15.0,Clothing,1.0,0.0,91.0,0.0,30.0,0.0
305.0,233.09,20.0,Grocery,0.0,0.0,46.0,1.0,29.0,0.0
error_transaction_id,670.24,,Electronics,,1.0,97.0,3.0,43.0,0.0
307.0,130.73,19.0,Travel,0.0,0.0,71.0,1.0,32.0,0.0
308.0,70.2,20.0,ELECTRONICS,0.0,4.309730005094243,64.0,3.0,21.0,0.0
309.0,285.42,20.0,Food,0.0,0.0,,4.0,66.0,0.0
310.0,56.85,20.0,Clothing,0.0,0.0,27.0,4.0,27.0,0.0
311.0,104.04,18.0,Food,0.0,,30.0,3.0,65.0,0.0
312.0,14.71,22.0,Electronics,,0.0,,0.0,61.0,0.0
313.0,4.62,18.0,Clothing,0.0,0.0,82.0,4.0,55.0,0.0
314.0,591.73,17.0,Food,0.0,0.0,31.0,1.0,65.0,0.0
315.0,325.4,18.0,Grocery,0.0,0.0,53.0,0.0,29.0,0.0
316.0,214.32,578.7406093489149,Grocery,0.0,0.0,27.0,0.0,39.0,0.0
317.0,94.65,2.0,Travel,0.0,0.0,37.0,0.0,55.0,0.0
318.0,,7.0,Grocery,0.0,0.0,60.0,3.0,47.0,0.0
319.0,30.62,19.0,Grocery,0.0,0.0,62.0,1.0,32.0,0.7656186198448346
320.0,51.84,18.0,Electronics,0.0,0.0,99.0,1.0,,0.0
321.0,143.42,9.0,Grocery,0.0,1.0,84.0,1.0,22.0,0.0
322.0,225.69,15.0,Grocery,0.0,0.0,97.0,2.0,66.0,0.0
323.0,194.29,4.0,Electronics,0.0,0.0,46.0,1.0,21.0,0.0
324.0,59.11,error_transaction_hour,Grocery,0.0,0.0,45.0,1.0,43.0,0.0
325.0,557.66,8.0,Grocery,0.0,0.0,57.0,0.0,60.0,0.0
326.0,241.02,7.0,Travel,0.0,0.0,28.0,2.0,36.0,0.0
327.0,145.48,10.0,,0.0,0.0,68.0,2.0,31.0,0.0
328.0,170.29,15.0,Grocery,0.0,0.0,25.0,1.0,44.0,0.0
329.0,97.93,6.0,Travel,0.0,0.0,86.0,,55.0,0.0
330.0,51.24,14.0,Electronics,0.0,0.0,46.0,2.0,,0.0
331.0,79.2,23.0,Grocery,0.0,0.0,83.0,2.0,59.0,0.0
332.0,255.27,error_transaction_hour,Food,0.0,0.0,61.0,3.0,40.0,0.7656186198448346
333.0,2.61,19.0,Electronics,1.0,0.0,47.0,5.0,59.0,0.7656186198448346
334.0,22.21,,Electronics,0.0,0.0,57.0,1.0,67.0,0.0
335.0,8.48,16.0,Grocery,0.0,0.0,46.0,,66.0,0.0
336.0,7.48,5.0,Travel,0.0,0.0,88.0,5.0,19.0,0.0
,,14.0,Electronics,0.0,0.0,86.0,2.0,30.0,0.0
338.0,218.92,7.0,Travel,0.0,0.0,78.0,2.0,29.0,0.0
339.0,115.7,6.0,Food,0.0,0.0,82.0,3.0,54.0,0.0
340.0,18.53,1.0,Travel,0.0,0.0,36.0,3.0,57.0,0.0
,121.77,,Clothing,0.0,0.0,42.0,4.0,53.0,0.0
342.0,115.46,22.0,Travel,0.0,0.0,91.0,3.0,20.0,0.0
343.0,34.24,,,0.0,0.0,84.0,1.0,21.0,
344.0,102.4,4.0,Travel,0.0,0.0,25.0,5.0,48.0,0.0
345.0,91.5,578.7406093489149,Travel,0.0,0.0,44.0,2.0,58.0,0.0
346.0,172.21,0.0,Clothing,0.0,1.0,41.0,1.0,45.0,0.0
347.0,8813.402647488014,17.0,Clothing,0.0,0.0,73.0,,57.0,0.0
348.0,8.35,14.0,Grocery,0.0,0.0,46.0,,28.0,0.0
349.0,84.49,22.0,Electronics,0.0,0.0,57.0,0.0,64.0,0.0
350.0,176.96,9.0,Grocery,0.0,0.0,50.0,5.0,60.0,0.0
